ID,Class
656,Hayes
949,Mark
255,Robert
21,Agresti
1412,Brown
278,Chandler
81,Auken
1475,Lovitt
955,Mark
1400,Neal
421,Hayes
1472,Hayes
1192,Peterson
1444,Cholette
645,Harp
1270,Cutey
1202,Hayes
1410,Vernon
196,Auken
1284,Nigam
647,Harp
1428,Shea
1035,Hayes
1478,Cholette
413,Wilson
151,Brown
1197,Sherwin
41,Ashbacher
1229,Power
556,Engineer
922,Mitchell
479,Brody
1235,Riley
325,Chandler
1053,Mitchell
45,Ashbacher
1095,Chachra
264,CFH
607,Mitchell
1181,Brody
933,Mark
636,Harp
1454,Walters
121,Brody
860,Auken
1091,Morrison
662,Lovitt
646,Harp
950,Mark
1314,Shea
385,Davisson
243,CFH
86,Morrison
1361,Taylor
1134,Calvinnme
499,Lovitt
786,Lovitt
1076,Mitchell
794,Merritt
1006,Merritt
1265,Peterson
742,Johnson
603,Grove
1009,Merritt
824,CFH
354,Chell
1251,Riley
1174,Lovitt
1104,Morrison
700,Ashbacher
1283,Hayes
315,Chandler
711,Calvinnme
1152,Ashbacher
48,Ashbacher
1388,Calvinnme
242,Dent
1132,Davisson
1345,Sherwin
985,McKee
772,Koenig
125,Calvinnme
1430,Hayes
131,Brody
462,Brody
938,Mark
1216,CFH
187,Comdet
1421,McKee
1112,Peterson
1380,Taylor
709,Ashbacher
661,Calvinnme
798,Lovitt
1362,Taylor
419,Janson
257,Peterson
849,Kolln
612,Cholette
1310,Kolln
378,Vernon
600,Blankenship
972,Brody
1165,Riley
1055,Neal
615,Cutey
207,Vernon
634,Harp
1028,Nigam
1476,Peterson
464,Cutey
721,Johnson
1286,Robert
725,Johnson
1411,Chachra
913,Comdet
1469,Ashbacher
713,Shea
983,Corn
701,Goonan
1268,Robert
367,Peterson
1005,Merritt
865,Shea
659,Harp
1460,Walters
80,Auken
358,McKee
554,Engineer
755,Koenig
924,Mahlers2nd
289,Mark
380,Cholette
834,Brody
440,Shea
412,Mahlers2nd
1465,Lovitt
1243,Shea
611,Grove
590,Sherwin
965,Agresti
215,Vernon
606,Grove
717,Bukowsky
629,Grove
1319,Peterson
197,Bukowsky
76,Kolln
234,Walters
596,Vision
822,Chachra
573,Chandler
1011,Merritt
386,Cholette
811,Vision
1408,Lovitt
841,Cutey
364,Chell
334,Chell
494,Walters
328,Chandler
981,McKee
703,Janson
931,Mark
1180,Peterson
1173,Cholette
1248,Morrison
35,Hayes
1207,Comdet
1125,Cholette
850,Lawyeraau
1481,Walters
845,Chell
587,Shea
550,Engineer
1377,Taylor
1111,Peterson
1470,Vernon
286,Chachra
1275,Lovitt
514,Janson
140,Chachra
553,Messick
142,Brody
297,Nigam
1402,Grove
1429,Shea
183,Peterson
632,Harp
1093,Morrison
1292,Comdet
1236,Riley
129,Brody
16,CFH
1259,Sherwin
467,McKee
508,Peterson
414,Davisson
1016,Merritt
430,Brody
848,Shea
720,Calvinnme
233,Calvinnme
875,Walters
92,Blankenship
1188,Grove
1373,Taylor
560,Messick
1466,Robert
369,Wilson
987,Corn
957,Mark
535,Goonan
1433,Chachra
959,Mark
13,Engineer
1227,Power
1012,Merritt
1318,Brody
224,Janson
1303,Davisson
511,McKee
491,Lovitt
291,Chandler
817,Vernon
909,Comdet
457,Brody
1030,Mitchell
1169,Nigam
1099,Morrison
210,Vernon
970,Ashbacher
917,Mahlers2nd
915,Comdet
1456,Walters
778,Koenig
649,Harp
484,Neal
366,Robert
501,Lovitt
732,Johnson
193,Hayes
1499,Comdet
856,Lovitt
847,Shea
373,Wilson
894,Messick
300,Chandler
1424,Nigam
1272,Robert
807,Morrison
702,Calvinnme
305,Chandler
599,Shea
90,Messick
199,Auken
676,Ashbacher
18,Agresti
1212,Power
84,Brown
473,Cutey
1467,Grove
237,Vernon
355,Cholette
29,Peterson
26,Engineer
1325,Brown
481,Vernon
782,Grove
1183,Cholette
613,Grove
1064,Neal
431,Lee
831,Wilson
1261,Robert
1007,Merritt
937,Mark
1258,Riley
178,Hayes
1145,Corn
988,Ashbacher
381,Cholette
1289,Wilson
1342,Sherwin
735,Johnson
1250,Riley
1075,Mahlers2nd
1175,Cholette
333,Chell
789,Grove
31,Ashbacher
1017,Merritt
594,McKee
1266,Robert
582,Cutey
552,Engineer
797,Peterson
1177,Peterson
617,Chell
602,Messick
9,Calvinnme
754,Koenig
942,Mark
166,Davisson
768,Koenig
1054,Neal
1018,Merritt
657,Harp
230,Vision
12,Mitchell
180,Brody
710,Ashbacher
1121,Neal
11,Agresti
812,Brody
1118,Shea
340,Chell
191,Cholette
911,Comdet
777,Koenig
960,Mark
149,Cutey
32,Ashbacher
1119,Lovitt
316,Comdet
281,Chachra
1000,Merritt
1102,Morrison
799,Robert
252,Davisson
1115,Power
363,Cholette
862,Agresti
268,Wilson
1247,Riley
489,Vernon
1033,Nigam
660,Harp
1013,Merritt
642,Harp
830,Comdet
882,Walters
409,Comdet
525,Engineer
341,Lovitt
698,Hayes
57,Morrison
389,Cholette
256,CFH
1462,Walters
724,Johnson
155,Sherwin
547,Engineer
267,CFH
1487,Wilson
99,Blankenship
1263,Hayes
406,Neal
1233,Riley
878,Walters
1221,Power
874,Walters
392,Peterson
648,Harp
384,Cholette
220,Comdet
751,Koenig
439,Mahlers2nd
1217,Power
576,Ashbacher
476,Nigam
147,Chell
1154,Davisson
803,Lee
302,Chandler
1244,CFH
1139,CFH
469,Janson
993,Merritt
144,Vernon
25,Peterson
356,Chell
1343,Sherwin
513,Agresti
407,Kolln
108,Blankenship
167,Chachra
337,Chell
1260,Shea
519,Engineer
1226,Power
1186,Peterson
94,Blankenship
480,Brody
836,Brody
1037,Hayes
1392,Comdet
1302,Auken
585,Lawyeraau
1436,McKee
320,Auken
461,McKee
589,Mahlers2nd
5,Lovitt
936,Mark
989,Goonan
674,Shea
927,Comdet
1116,Lawyeraau
1492,Peterson
930,Mahlers2nd
665,Peterson
218,Janson
522,Dent
978,Chachra
107,Blankenship
219,McKee
932,Mark
976,Shea
1083,Morrison
593,Goonan
870,Mitchell
1359,Taylor
1222,Power
1079,Neal
63,Kolln
1024,Messick
34,Hayes
332,Chell
1285,Davisson
202,Vernon
1317,Vernon
804,Peterson
126,CFH
1326,Sherwin
1242,Cutey
741,Johnson
666,Comdet
370,Wilson
688,Hayes
274,Mahlers2nd
859,Shea
342,Chell
262,McKee
186,Peterson
730,Johnson
939,Mark
1316,Davisson
1162,Sherwin
459,McKee
718,McKee
628,Davisson
1159,Calvinnme
493,Lawyeraau
498,Vernon
1418,Janson
82,Auken
60,Riley
1346,Sherwin
1473,Lovitt
156,Brown
198,Peterson
299,Mark
427,Chandler
891,Robert
1110,Morrison
1109,Morrison
880,Janson
539,Dent
185,Ashbacher
557,Engineer
624,Mitchell
524,Dent
239,Comdet
1025,Goonan
1399,Lovitt
828,Hayes
424,Corn
1453,Cholette
863,Mahlers2nd
163,Brown
1495,Walters
1141,Agresti
984,Chachra
568,CFH
626,Cholette
168,McKee
851,Agresti
204,Bukowsky
947,Mark
529,Dent
17,CFH
304,Kolln
1353,Taylor
322,Chachra
579,Corn
179,Goonan
1256,Riley
654,Harp
141,Dent
455,Vernon
229,Hayes
505,Lovitt
1068,Mitchell
1368,Taylor
377,Cholette
1126,Power
357,Shea
902,Mahlers2nd
844,Cholette
883,Messick
148,Vision
528,Corn
1020,Merritt
857,Agresti
1406,Vernon
1420,CFH
1241,Corn
1108,Morrison
536,Dent
1039,Messick
704,Kolln
1328,Sherwin
733,Johnson
226,Agresti
729,Johnson
663,Robert
726,Johnson
570,Comdet
323,Chandler
1447,Kolln
235,Calvinnme
769,Koenig
1046,Messick
1307,Comdet
809,Agresti
736,Johnson
47,Ashbacher
644,Harp
1484,Grove
1101,Morrison
258,Shea
876,CFH
920,Comdet
893,Neal
317,Chachra
1375,Taylor
1232,Nigam
1366,Taylor
886,Lovitt
1301,Corn
572,Chandler
1274,Robert
96,Blankenship
879,Mitchell
259,Walters
1306,Vision
1276,Neal
1213,Power
1432,Janson
864,Lee
250,Lovitt
135,Brody
232,Lawyeraau
345,Brody
1021,Vernon
507,Comdet
403,Bukowsky
604,Peterson
1340,Shea
762,Koenig
569,Shea
139,Calvinnme
829,Janson
130,Calvinnme
946,Mark
597,Janson
425,Nigam
534,Dent
1234,Corn
209,Vernon
1185,Cholette
574,Chell
687,Robert
387,Riley
1201,Power
22,Vision
436,McKee
344,Mitchell
71,Auken
482,Davisson
1074,Mitchell
169,Messick
1130,Neal
1297,Shea
279,Chandler
906,Agresti
821,Ashbacher
565,Engineer
1206,Messick
1416,Hayes
980,McKee
779,Koenig
832,Lawyeraau
397,Vernon
313,Chandler
1097,Morrison
527,Agresti
1184,Robert
954,Mark
670,Calvinnme
986,Lawyeraau
78,Lovitt
471,Cutey
677,Comdet
808,Peterson
1344,Corn
83,Kolln
4,Mitchell
1315,Grove
542,Engineer
217,Calvinnme
394,Vision
619,Chandler
1003,Merritt
53,Ashbacher
595,Ashbacher
584,Shea
272,Nigam
429,Brody
1277,Robert
42,Brody
1089,Morrison
184,Lovitt
173,Brown
562,Davisson
1048,Hayes
1230,Mitchell
668,Ashbacher
260,Peterson
1120,Mahlers2nd
319,Chandler
